id,name,edges_count,flow_count,timestep_s,sumo_version,has_queues,total_flow_per_h,notes
1,demo_1,4,4,1.0,1.18/1.26,no,1683,标准十字路口
2,demo_2,4,4,1.0,1.18/1.26,no,,
3,demo_3,4,4,1.0,1.18/1.26,no,,
4,demo_4,4,4,1.0,1.18/1.26,no,,
5,demo_5,4,3,1.0,1.18/1.26,no,,仅3个方向流
6,demo_6,4,4,1.0,1.18/1.26,no,,
7,demo_7,4,3,1.0,1.18/1.26,no,,仅3个方向流
8,demo_8,4,4,1.0,1.18/1.26,no,,
9,demo_9,5,5,1.0,1.18/1.26,no,,5进口道含-E4
10,demo_10,4,3,1.0,1.18/1.26,no,,仅3个方向流
11,demo_11,4,4,0.1,1.13,yes,,流ID为W/E/S/N_car;地图文件夹为"高清地图"
12,demo_12,4,4,0.1,1.13,yes,,流ID为W/E/S/N_car
13,demo_13,4,4,0.1,1.13,yes,,流ID为W/E/S/N_car
14,demo_14,4,4,1.0,1.18/1.23,no,,
15,demo_15,4,4,0.1,1.23,yes,,
16,demo_16,5,4,0.1,1.23,yes,,含-E5进口道
17,demo_17,4,4,0.1,1.23,yes,,
18,demo_18,4,4,0.1,1.23,yes,,高流量(834辆/h)
19,demo_19,4,4,0.1,1.23,yes,,
20,demo_20,4,4,0.1,1.23,yes,,低流量(最低183辆/h)
